epoch,id_loss,wrt_loss,total_loss,acc,rank1,mAP,mINP
0,5.947851,9.416019,15.363866,0.02104286,,,
1,5.2421384,0.6866356,5.928775,0.07480247,,,
2,3.411383,0.49251536,3.9038951,0.29635116,,,
3,1.806079,0.37621343,2.182292,0.5986738,,,
4,1.0701938,0.3163805,1.3865752,0.7515865,,,
5,0.7652268,0.28232744,1.047554,0.8185016,,,
6,0.6322784,0.26873937,0.9010178,0.8478811,,,
7,0.5696105,0.2613656,0.8309767,0.8610812,,,
8,0.52990866,0.2537333,0.78364205,0.87058425,,,
9,0.5114995,0.25195614,0.763456,0.8737131,,,
10,0.5062261,0.25890803,0.7651341,0.87450576,,,
11,0.42750427,0.24207781,0.6695822,0.89517474,,,
12,0.3982322,0.23413356,0.63236576,0.9035566,,,
13,0.36795294,0.22279915,0.59075224,0.91047037,,,
14,0.36512437,0.22420707,0.5893313,0.91243136,,,
15,0.34211114,0.21398889,0.55610025,0.91798425,,,
16,0.33272457,0.21695834,0.5496833,0.92239904,,,
17,0.3227089,0.2086349,0.531344,0.9238506,,,
18,0.31295067,0.20751116,0.5204616,0.9266791,,,
19,0.30334002,0.20189774,0.50523776,0.9297766,,,
20,0.28280824,0.19256416,0.47537234,0.9351805,,,
21,0.27974385,0.1922795,0.4720234,0.93673664,,,
22,0.2907604,0.19182602,0.48258647,0.9332491,,,
23,0.27052236,0.18709363,0.45761573,0.9389518,,,
24,0.2769953,0.18835859,0.4653537,0.93678176,,,
25,0.2549853,0.17969105,0.4346764,0.94263387,,,
26,0.25778538,0.17950106,0.43728667,0.94172114,,,
27,0.25235498,0.1751055,0.42746028,0.94320196,,,
28,0.26136634,0.17633927,0.43770587,0.94103205,,,
29,0.24771775,0.17390457,0.42162213,0.9454619,,,
30,0.24131025,0.16931644,0.41062674,0.94649434,,,
31,0.24380831,0.1704501,0.41425818,0.94559664,,,
32,0.2346077,0.16836533,0.40297297,0.9478117,,,
33,0.24672359,0.16744126,0.41416448,0.94561225,,,
34,0.23313397,0.16599779,0.3991319,0.9489352,,,
35,0.22643481,0.16284958,0.38928446,0.9513286,,,
36,0.22394362,0.16069838,0.38464224,0.95111907,,,
37,0.23352504,0.16351265,0.39703777,0.94956315,,,
38,0.2257482,0.15988758,0.38563576,0.95107454,,,
39,0.23261178,0.16192183,0.3945337,0.94911397,,,
40,0.12382717,0.11817564,0.24200283,0.9751851,,,
41,0.08699764,0.09917448,0.18617208,0.9841354,,,
42,0.0772526,0.09004111,0.16729365,0.98678404,,,
43,0.07310359,0.08859492,0.16169846,0.98835546,,,
44,0.06885793,0.082043715,0.1509016,0.99013656,,,
45,0.07036648,0.07791271,0.14827931,0.98985165,,,
46,0.06974034,0.0782058,0.14794612,0.9907352,,,
47,0.06804665,0.072162494,0.14020915,0.9913042,,,
48,0.07056402,0.07190444,0.1424683,0.99065995,,,
49,0.071243055,0.06991127,0.14115435,0.99151385,,,
50,0.071103804,0.067054205,0.13815813,0.9913046,,,
51,0.07172683,0.06662501,0.13835177,0.99131966,,,
52,0.0698588,0.06582455,0.1356833,0.9916479,,,
53,0.07046387,0.061407175,0.13187112,0.99212754,,,
54,0.0685396,0.0616012,0.13014065,0.99221677,,,
55,0.06598463,0.058693103,0.12467759,0.9931295,,,
56,0.07060269,0.059477728,0.13008054,0.99217165,,,
57,0.06650358,0.056562677,0.12306612,0.9931896,,,
58,0.065995544,0.056510005,0.122505546,0.9931895,,,
59,0.06725211,0.056019392,0.12327145,0.99257636,,,
60,0.063495904,0.052032746,0.115528576,0.9931747,,,
61,0.06001393,0.05121442,0.11122846,0.99365383,,,
62,0.05999985,0.052304186,0.11230392,0.9941924,,,
63,0.057165984,0.050630085,0.107796036,0.99461174,,,
64,0.058102414,0.048898265,0.107000746,0.9943267,,,
65,0.05802666,0.050193895,0.10822054,0.9941326,,,
66,0.054739263,0.04716772,0.10190703,0.9946713,,,
67,0.055190783,0.04748569,0.102676585,0.9947314,,,
68,0.05378615,0.04668853,0.1004747,0.9951505,,,
69,0.054196637,0.046878945,0.10107564,0.9949854,,,
70,0.053084396,0.045780882,0.09886523,0.9951509,,,
71,0.05520722,0.046854403,0.102061674,0.9951954,,,
72,0.054454748,0.04644702,0.10090176,0.9951058,,,
73,0.055025414,0.045274884,0.100300394,0.9951209,,,
74,0.054096233,0.046663184,0.100759365,0.99546427,,,
75,0.05603087,0.047328323,0.10335921,0.9946717,,,
76,0.05286134,0.044596367,0.097457685,0.99538976,,,
77,0.054629456,0.046327658,0.10095718,0.9948958,,,
78,0.05279695,0.043728128,0.09652503,0.9956739,,,
79,0.054670487,0.04447294,0.099143445,0.9948811,0.52495396,0.5049084375495233,0.3634632691207566
80,0.05316375,0.0456432,0.09880695,0.9956144,,,
81,0.053734045,0.045091823,0.098825894,0.9954049,0.5159348,0.49594280560367004,0.35390837069383785
82,0.05468517,0.0424003,0.097085424,0.9949856,,,
83,0.054731566,0.0425628,0.09729441,0.9948357,0.5199579,0.5005165726000648,0.35743437538430195
84,0.052644268,0.04340849,0.096052736,0.99562943,,,
85,0.053051844,0.043116897,0.09616871,0.99524033,0.52492774,0.5050450697142962,0.36408158134647606
86,0.053223968,0.04367047,0.09689443,0.995465,,,
87,0.05476842,0.043363694,0.09813207,0.9949551,0.51680255,0.4989946864195889,0.3587892966972249
88,0.05332489,0.042819265,0.09614407,0.9958691,,,
89,0.05396606,0.04349841,0.0974644,0.9948963,0.5235078,0.5006701551922117,0.3555099672694329
90,0.05337928,0.042517923,0.09589717,0.99536043,,,
91,0.051805854,0.041045688,0.09285148,0.99564415,0.51769656,0.49914035566312887,0.3575420355744666
92,0.053262513,0.042118337,0.095380925,0.9951356,,,
93,0.054057218,0.04189609,0.09595329,0.9955396,0.5236392,0.505639856938464,0.36417969625632557
94,0.05264824,0.04100724,0.09365547,0.995809,,,
95,0.05225641,0.04134529,0.09360163,0.99574965,0.5229819,0.505074543590742,0.36417217769249244
96,0.052890304,0.042565994,0.09545632,0.99540484,,,
97,0.052580032,0.042264227,0.09484423,0.9958241,0.5204313,0.5026134369460136,0.36246283519429084
98,0.052148134,0.039307453,0.09145559,0.995839,,,
99,0.05379348,0.042651575,0.096444994,0.9951204,0.5240599,0.5050381412508325,0.36465419466987326
100,0.054517657,0.03985735,0.094374985,0.99473083,,,
101,0.052147064,0.04067678,0.09282384,0.99532986,0.5225875,0.5049026652591969,0.3654437617448779
102,0.05312542,0.040715512,0.093840905,0.9955988,,,
103,0.05250356,0.040633578,0.09313716,0.9958686,0.521299,0.5023620423924628,0.36230045893241386
104,0.052935332,0.04194356,0.09487885,0.9957195,,,
105,0.051758014,0.041263,0.09302103,0.9957493,0.5168025,0.49899905643070175,0.35873705676519635
106,0.05225186,0.04003238,0.0922842,0.99573404,,,
107,0.05213313,0.040206403,0.09233952,0.99579394,0.5250591,0.505829249902703,0.36470714303852086
108,0.05207233,0.03907968,0.09115208,0.99543464,,,
109,0.05323946,0.042052064,0.09529149,0.99562967,0.5231133,0.505575825585274,0.3649413055644187
110,0.05122231,0.03951401,0.0907363,0.99594355,,,
111,0.050988752,0.04029893,0.091287725,0.99603367,0.51554036,0.4981041643049912,0.3587185929904818
112,0.052522186,0.041022975,0.093545154,0.99534494,,,
113,0.052144945,0.04000097,0.09214592,0.9956593,0.5215357,0.502262520302186,0.36180656519087506
